transaction_id,customer_id,date,amount,card_type,merchant,is_fraud,age,gender,income
1,36,2025-05-23 22:07:25.822780,39.0427706753046,Visa,Gas Station,0,63,Male,76843.74236408473
2,422,2024-09-19 22:07:25.823300,1.0,Visa,Amazon,0,65,Male,49701.20245913348
3,478,2024-12-06 22:07:25.823319,111.07620605545378,Visa,Restaurant,0,39,Female,66393.26107745322
4,502,2025-05-19 22:07:25.823327,64.06934234445403,Visa,Target,0,65,Female,61575.54688673585
5,338,2025-06-23 22:07:25.823335,35.24129285391551,Visa,Amazon,0,32,Female,80177.91846043678
6,582,2025-02-26 22:07:25.823342,89.84170666960902,Visa,Amazon,0,47,Female,60422.18311817234
7,628,2025-08-13 22:07:25.823348,20.817064497199976,Visa,Amazon,0,68,Female,44245.76761107803
8,410,2025-05-23 22:07:25.823355,62.19866102668022,Amex,Amazon,0,42,Female,88759.63934363454
9,463,2025-05-04 22:07:25.823361,44.82112597127496,Amex,BestBuy,0,24,Male,99220.5396027291
10,513,2025-01-31 22:07:25.823367,69.16031419640903,Visa,Gas Station,0,52,Male,25146.521122583756
11,81,2024-10-07 22:07:25.823373,48.092793824416354,Mastercard,BestBuy,0,55,Female,82432.30086585219
12,479,2025-06-07 22:07:25.823380,6.472163266663273,Visa,BestBuy,0,69,Male,59121.23065951729
13,386,2025-05-26 22:07:25.823393,52.26729118010113,Visa,Target,0,24,Male,67804.9832154801
14,420,2024-09-08 22:07:25.823406,81.46592425626086,Visa,Target,0,33,Male,65979.26622313252
15,440,2025-04-04 22:07:25.823419,49.12350782438044,Visa,Gas Station,0,62,Male,88660.30648951058
16,35,2025-04-25 22:07:25.823430,73.25345364767259,Mastercard,Gas Station,0,51,Female,50473.47273285242
17,895,2025-04-06 22:07:25.823438,18.634115429778404,Visa,Restaurant,0,46,Female,50760.80458029145
18,795,2024-10-29 22:07:25.823444,49.212176201904434,Visa,Amazon,0,57,Male,51441.422150213235
19,501,2024-12-19 22:07:25.823451,31.26468634734268,Mastercard,BestBuy,0,34,Male,88840.48135489423
20,707,2024-09-24 22:07:25.823457,72.4094252031413,Mastercard,Target,0,62,Male,70404.15551294881
21,184,2024-11-13 22:07:25.823463,50.94474686785988,Visa,Starbucks,0,57,Female,54619.178157223505
22,558,2025-02-23 22:07:25.823469,70.70221029009838,Visa,Amazon,0,52,Male,57601.60894935581
23,148,2024-11-30 22:07:25.823475,82.63131278473598,Visa,Restaurant,0,35,Male,86335.4003088766
24,264,2025-03-26 22:07:25.823481,70.74855725364165,Visa,Walmart,0,29,Male,64778.27498113565
25,605,2024-10-24 22:07:25.823487,58.193553028809326,Visa,BestBuy,0,30,Female,58341.10282571557
26,840,2025-08-12 22:07:25.823493,20.05363224465784,Visa,Amazon,0,57,Female,67935.7097635458
27,489,2024-12-24 22:07:25.823500,49.91641667999296,Mastercard,Gas Station,0,37,Male,34005.98090836028
28,626,2025-01-10 22:07:25.823506,34.00728793952501,Mastercard,Amazon,0,31,Female,38185.55910999693
29,859,2024-09-23 22:07:25.823512,39.6780812988732,Mastercard,Walmart,0,67,Female,55968.78899128451
30,282,2025-07-16 22:07:25.823518,38.76397547749247,Visa,Gas Station,0,61,Female,57208.282290425086
31,615,2025-07-06 22:07:25.823524,20.602232756532665,Visa,Starbucks,0,23,Female,58595.002168914914
32,202,2025-03-17 22:07:25.823530,1.0,Visa,Target,0,33,Male,61228.24067758328
33,574,2025-02-27 22:07:25.823536,29.955708550166996,Mastercard,Target,0,49,Male,87996.07958706506
